"Atom ID","Phase","Work item","Owner route","Status","Quality (Q)"
"LLA-A195","Phase 10 — Kapalı alpha kalite ve release kapısı","Build, device matrix ve closed-alpha go/no-go","OWNER + BRAIN","PLANNED",""
"LLA-A196","Phase 11 — Grounded Studio","Tek Studio operasyonunu dondur: Explain→Save to Practice","BRAIN","PLANNED",""
"LLA-A197","Phase 11 — Grounded Studio","Güncel model/provider/privacy/cost research","NOTION → BRAIN","PLANNED",""
"LLA-A198","Phase 11 — Grounded Studio","Swappable `ModelProvider` contract","BRAIN + WORKER","PLANNED",""
"LLA-A199","Phase 11 — Grounded Studio","Allowed source/skill scope ve provenance","BRAIN + WORKER","PLANNED",""
"LLA-A200","Phase 11 — Grounded Studio","Versioned prompt ve structured output schema","BRAIN + WORKER","PLANNED",""
"LLA-A201","Phase 11 — Grounded Studio","Runtime validation/repair/reject path","WORKER → BRAIN","PLANNED",""
"LLA-A202","Phase 11 — Grounded Studio","Content boundary, safety ve prompt-injection tests","NOTION + WORKER → BRAIN","PLANNED",""
"LLA-A203","Phase 11 — Grounded Studio","Token/time/cost ledger ve cache","WORKER → BRAIN","PLANNED",""
"LLA-A204","Phase 11 — Grounded Studio","Timeout/quota/offline deterministic fallback","WORKER → BRAIN","PLANNED",""
"LLA-A205","Phase 11 — Grounded Studio","Golden eval corpus ve pass thresholds","SPARK + BRAIN + NOTION","PLANNED",""
"LLA-A206","Phase 11 — Grounded Studio","Explain endpoint ve learner UI","WORKER → BRAIN","PLANNED",""
"LLA-A207","Phase 11 — Grounded Studio","Save-to-Practice ve non-AI delayed return","WORKER → BRAIN","PLANNED",""
"LLA-A208","Phase 11 — Grounded Studio","Report/appeal ve Studio acceptance","BRAIN + OWNER","PLANNED",""
"LLA-A209","Phase 12 — Voice intelligence ve Scenario Engine","STT benchmark question/metric/sample planı","BRAIN","PLANNED",""
"LLA-A210","Phase 12 — Voice intelligence ve Scenario Engine","Groq/Azure/alternatif STT privacy/price/capability research","NOTION → BRAIN","PLANNED",""
"LLA-A211","Phase 12 — Voice intelligence ve Scenario Engine","Consented German learner/DACH sample seti","OWNER","BLOCKED_OWNER",""
"LLA-A212","Phase 12 — Voice intelligence ve Scenario Engine","Provider-neutral benchmark harness","SPARK + WORKER → BRAIN","PLANNED",""
"LLA-A213","Phase 12 — Voice intelligence ve Scenario Engine","Device/noise/accent/DACH benchmark run","WORKER + OWNER → BRAIN","PLANNED",""
"LLA-A214","Phase 12 — Voice intelligence ve Scenario Engine","STT provider/fallback ADR","BRAIN","PLANNED",""
"LLA-A215","Phase 12 — Voice intelligence ve Scenario Engine","Transcript confidence ve user correction UX","BRAIN + WORKER","PLANNED",""
"LLA-A216","Phase 12 — Voice intelligence ve Scenario Engine","Voice task-success evaluator","WORKER → BRAIN","PLANNED",""
"LLA-A217","Phase 12 — Voice intelligence ve Scenario Engine","Forced-alignment/phoneme research","NOTION → BRAIN","PLANNED",""
"LLA-A218","Phase 12 — Voice intelligence ve Scenario Engine","Pronunciation-claim/no-fake-score policy","BRAIN + OWNER","PLANNED",""
"LLA-A219","Phase 12 — Voice intelligence ve Scenario Engine","Deterministic Scenario DSL/state contract","BRAIN","PLANNED",""
"LLA-A220","Phase 12 — Voice intelligence ve Scenario Engine","İlk authored counter scenario","BRAIN + WORKER","PLANNED",""
"LLA-A221","Phase 12 — Voice intelligence ve Scenario Engine","Constrained surface variation adapter","WORKER → BRAIN","PLANNED",""
"LLA-A222","Phase 12 — Voice intelligence ve Scenario Engine","Scenario offline/failure/eval corpus","WORKER + NOTION → BRAIN","PLANNED",""
"LLA-A223","Phase 12 — Voice intelligence ve Scenario Engine","Voice + Scenario acceptance","BRAIN","PLANNED",""
"LLA-A224","Phase 13 — People: güvenlikten sonra guided exchange","People ayrı ürün kapısı ve go/no-go kriteri","BRAIN + OWNER","DEFERRED",""
"LLA-A225","Phase 13 — People: güvenlikten sonra guided exchange","Hedef ülke safety/legal/platform-duty research","NOTION → BRAIN + OWNER","DEFERRED",""
"LLA-A226","Phase 13 — People: güvenlikten sonra guided exchange","18+ age/access policy","BRAIN + OWNER","DEFERRED",""
"LLA-A227","Phase 13 — People: güvenlikten sonra guided exchange","Social PII/retention/deletion policy","BRAIN + OWNER","DEFERRED",""
"LLA-A228","Phase 13 — People: güvenlikten sonra guided exchange","Scam/dating/harassment/hate safety taxonomy","NOTION + BRAIN","DEFERRED",""
"LLA-A229","Phase 13 — People: güvenlikten sonra guided exchange","Identity/risk/session signals","BRAIN + WORKER","DEFERRED",""
"LLA-A230","Phase 13 — People: güvenlikten sonra guided exchange","Block behavior","WORKER → BRAIN","DEFERRED",""
"LLA-A231","Phase 13 — People: güvenlikten sonra guided exchange","Mute/leave/session termination","WORKER → BRAIN","DEFERRED",""
"LLA-A232","Phase 13 — People: güvenlikten sonra guided exchange","Report evidence capture","WORKER → BRAIN","DEFERRED",""
"LLA-A233","Phase 13 — People: güvenlikten sonra guided exchange","Moderation queue ve operator workflow","BRAIN + WORKER","DEFERRED",""
"LLA-A234","Phase 13 — People: güvenlikten sonra guided exchange","Appeal ve audit trail","BRAIN + WORKER","DEFERRED",""
"LLA-A235","Phase 13 — People: güvenlikten sonra guided exchange","Rate limits ve abuse controls","WORKER → BRAIN","DEFERRED",""
"LLA-A236","Phase 13 — People: güvenlikten sonra guided exchange","Abuse telemetry/redaction","WORKER → BRAIN","DEFERRED",""
"LLA-A237","Phase 13 — People: güvenlikten sonra guided exchange","No-show/technical-failure compensation","BRAIN","DEFERRED",""
"LLA-A238","Phase 13 — People: güvenlikten sonra guided exchange","Human-feedback evidence permission modeli","BRAIN","DEFERRED",""
"LLA-A239","Phase 13 — People: güvenlikten sonra guided exchange","German↔target-language liquidity study","NOTION → BRAIN","DEFERRED",""
"LLA-A240","Phase 13 — People: güvenlikten sonra guided exchange","Invite-only structured text pilot","OWNER + WORKER → BRAIN","DEFERRED",""
"LLA-A241","Phase 13 — People: güvenlikten sonra guided exchange","Structured voice pilot ve People acceptance","OWNER + BRAIN","DEFERRED",""
"LLA-A242","Phase 14 — Premium, coin ve commerce","Monetization/evidence non-interference contract","BRAIN + OWNER","DEFERRED",""
"LLA-A243","Phase 14 — Premium, coin ve commerce","Pricing, competitor ve regional affordability research","NOTION → BRAIN + OWNER","DEFERRED",""
"LLA-A244","Phase 14 — Premium, coin ve commerce","Premium entitlement model","BRAIN + WORKER","DEFERRED",""
"LLA-A245","Phase 14 — Premium, coin ve commerce","Açık quota/limit/fallback UX","BRAIN + WORKER","DEFERRED",""
"LLA-A246","Phase 14 — Premium, coin ve commerce","Free tier complete-learning-loop test","BRAIN + OWNER","DEFERRED",""
"LLA-A247","Phase 14 — Premium, coin ve commerce","Coin value hypothesis ve success/failure metric","BRAIN + OWNER","DEFERRED",""
"LLA-A248","Phase 14 — Premium, coin ve commerce","Ayrı economy ledger","WORKER → BRAIN","DEFERRED",""
"LLA-A249","Phase 14 — Premium, coin ve commerce","Coin earning kuralları","BRAIN + WORKER","DEFERRED",""
"LLA-A250","Phase 14 — Premium, coin ve commerce","Coin spending ve expiry/refund kuralları","BRAIN + WORKER","DEFERRED",""
"LLA-A251","Phase 14 — Premium, coin ve commerce","Fraud/threat model ve adversarial tests","NOTION + WORKER → BRAIN","DEFERRED",""
"LLA-A252","Phase 14 — Premium, coin ve commerce","Kapalı economy pilotu","OWNER + BRAIN","DEFERRED",""
"LLA-A253","Phase 14 — Premium, coin ve commerce","Billing/subscription/refund implementation","WORKER + OWNER → BRAIN","DEFERRED",""
"LLA-A254","Phase 14 — Premium, coin ve commerce","Tutor/media marketplace go/no-go kararı","NOTION + BRAIN + OWNER","DEFERRED",""
"LLA-A255","Phase 15 — Operasyon, ölçek ve çok dillilik","Analytics/evidence/ops data boundary audit","BRAIN","DEFERRED",""
"LLA-A256","Phase 15 — Operasyon, ölçek ve çok dillilik","PostHog/alternatif consent, quota ve privacy research","NOTION → BRAIN","DEFERRED",""
"LLA-A257","Phase 15 — Operasyon, ölçek ve çok dillilik","Consent-aware product analytics integration","SPARK + WORKER → BRAIN","DEFERRED",""
"LLA-A258","Phase 15 — Operasyon, ölçek ve çok dillilik","Learning/product/AI data retention jobs","WORKER + OWNER → BRAIN","DEFERRED",""
"LLA-A259","Phase 15 — Operasyon, ölçek ve çok dillilik","R2 lifecycle, raw-voice deletion ve audit jobs","WORKER + OWNER → BRAIN","DEFERRED",""
"LLA-A260","Phase 15 — Operasyon, ölçek ve çok dillilik","AI/STT/TTS provider failover drills","WORKER → BRAIN","DEFERRED",""
"LLA-A261","Phase 15 — Operasyon, ölçek ve çok dillilik","API/sync/media load and quota tests","WORKER → BRAIN","DEFERRED",""
"LLA-A262","Phase 15 — Operasyon, ölçek ve çok dillilik","SLO/error-budget tanımı","BRAIN","DEFERRED",""
"LLA-A263","Phase 15 — Operasyon, ölçek ve çok dillilik","Incident runbook ve kill-switch rehearsal","BRAIN + WORKER","DEFERRED",""
"LLA-A264","Phase 15 — Operasyon, ölçek ve çok dillilik","Scheduled backup/restore audit","OWNER + WORKER → BRAIN","DEFERRED",""
"LLA-A265","Phase 15 — Operasyon, ölçek ve çok dillilik","Reviewer hacmine göre CMS/admin go-no-go","BRAIN + NOTION","DEFERRED",""
"LLA-A266","Phase 15 — Operasyon, ölçek ve çok dillilik","Seçilirse dar CMS/admin implementation","WORKER → BRAIN","DEFERRED",""
"LLA-A267","Phase 15 — Operasyon, ölçek ve çok dillilik","Content/UI localization framework hardening","BRAIN + WORKER","DEFERRED",""
"LLA-A268","Phase 15 — Operasyon, ölçek ve çok dillilik","İkinci dil seçim araştırması ve demand evidence","NOTION → BRAIN + OWNER","DEFERRED",""
"LLA-A269","Phase 15 — Operasyon, ölçek ve çok dillilik","Opsiyonel Russian-first research refresh","NOTION → BRAIN","DEFERRED",""
"LLA-A270","Phase 15 — Operasyon, ölçek ve çok dillilik","İkinci language-pack spike ve scale release kararı","BRAIN + WORKER + OWNER","DEFERRED",""
